time_start,title,h5_url,umm_id
2025-10-17T12:52:02.000Z,NISAR_L3_PR_SME2_003_005_A_019_4005_DHDH_A_20251017T125202_20251017T125219_X05010_N_P_J_001,https://nisar.asf.earthdatacloud.nasa.gov/NISAR/NISAR_L3_SME2_BETA_V1/NISAR_L3_PR_SME2_003_005_A_019_4005_DHDH_A_20251017T125202_20251017T125219_X05010_N_P_J_001/NISAR_L3_PR_SME2_003_005_A_019_4005_DHDH_A_20251017T125202_20251017T125219_X05010_N_P_J_001.h5,G4058212228-ASF
2025-10-17T12:52:18.000Z,NISAR_L3_PR_SME2_003_005_A_020_4005_DHDH_A_20251017T125218_20251017T125253_X05010_N_F_J_001,https://nisar.asf.earthdatacloud.nasa.gov/NISAR/NISAR_L3_SME2_BETA_V1/NISAR_L3_PR_SME2_003_005_A_020_4005_DHDH_A_20251017T125218_20251017T125253_X05010_N_F_J_001/NISAR_L3_PR_SME2_003_005_A_020_4005_DHDH_A_20251017T125218_20251017T125253_X05010_N_F_J_001.h5,G4058215709-ASF
2025-10-23T02:31:41.000Z,NISAR_L3_PR_SME2_003_085_D_070_4005_DHDH_A_20251023T023141_20251023T023215_X05010_N_F_J_001,https://nisar.asf.earthdatacloud.nasa.gov/NISAR/NISAR_L3_SME2_BETA_V1/NISAR_L3_PR_SME2_003_085_D_070_4005_DHDH_A_20251023T023141_20251023T023215_X05010_N_F_J_001/NISAR_L3_PR_SME2_003_085_D_070_4005_DHDH_A_20251023T023141_20251023T023215_X05010_N_F_J_001.h5,G4058214685-ASF
2025-10-23T02:32:14.000Z,NISAR_L3_PR_SME2_003_085_D_071_4005_DHDH_A_20251023T023214_20251023T023240_X05010_N_P_J_001,https://nisar.asf.earthdatacloud.nasa.gov/NISAR/NISAR_L3_SME2_BETA_V1/NISAR_L3_PR_SME2_003_085_D_071_4005_DHDH_A_20251023T023214_20251023T023240_X05010_N_P_J_001/NISAR_L3_PR_SME2_003_085_D_071_4005_DHDH_A_20251023T023214_20251023T023240_X05010_N_P_J_001.h5,G4058212710-ASF
2025-10-23T02:32:58.000Z,NISAR_L3_PR_SME2_003_085_D_072_4005_DHDH_A_20251023T023258_20251023T023323_X05010_N_P_J_001,https://nisar.asf.earthdatacloud.nasa.gov/NISAR/NISAR_L3_SME2_BETA_V1/NISAR_L3_PR_SME2_003_085_D_072_4005_DHDH_A_20251023T023258_20251023T023323_X05010_N_P_J_001/NISAR_L3_PR_SME2_003_085_D_072_4005_DHDH_A_20251023T023258_20251023T023323_X05010_N_P_J_001.h5,G4058212194-ASF
2025-10-28T02:23:55.000Z,NISAR_L3_PR_SME2_003_157_D_071_4005_DHDH_A_20251028T022355_20251028T022423_X05010_N_F_J_001,https://nisar.asf.earthdatacloud.nasa.gov/NISAR/NISAR_L3_SME2_BETA_V1/NISAR_L3_PR_SME2_003_157_D_071_4005_DHDH_A_20251028T022355_20251028T022423_X05010_N_F_J_001/NISAR_L3_PR_SME2_003_157_D_071_4005_DHDH_A_20251028T022355_20251028T022423_X05010_N_F_J_001.h5,G4058214249-ASF
2025-10-29T12:52:02.000Z,NISAR_L3_PR_SME2_004_005_A_019_4005_DHDH_A_20251029T125202_20251029T125220_X05010_N_P_J_001,https://nisar.asf.earthdatacloud.nasa.gov/NISAR/NISAR_L3_SME2_BETA_V1/NISAR_L3_PR_SME2_004_005_A_019_4005_DHDH_A_20251029T125202_20251029T125220_X05010_N_P_J_001/NISAR_L3_PR_SME2_004_005_A_019_4005_DHDH_A_20251029T125202_20251029T125220_X05010_N_P_J_001.h5,G4058216624-ASF
2025-10-29T12:52:19.000Z,NISAR_L3_PR_SME2_004_005_A_020_4005_DHDH_A_20251029T125219_20251029T125253_X05010_N_F_J_001,https://nisar.asf.earthdatacloud.nasa.gov/NISAR/NISAR_L3_SME2_BETA_V1/NISAR_L3_PR_SME2_004_005_A_020_4005_DHDH_A_20251029T125219_20251029T125253_X05010_N_F_J_001/NISAR_L3_PR_SME2_004_005_A_020_4005_DHDH_A_20251029T125219_20251029T125253_X05010_N_F_J_001.h5,G4058216586-ASF
2025-11-01T02:56:06.000Z,NISAR_L3_PR_SME2_004_042_D_069_4005_DHDH_A_20251101T025606_20251101T025641_X05010_N_F_J_001,https://nisar.asf.earthdatacloud.nasa.gov/NISAR/NISAR_L3_SME2_BETA_V1/NISAR_L3_PR_SME2_004_042_D_069_4005_DHDH_A_20251101T025606_20251101T025641_X05010_N_F_J_001/NISAR_L3_PR_SME2_004_042_D_069_4005_DHDH_A_20251101T025606_20251101T025641_X05010_N_F_J_001.h5,G4058216690-ASF
2025-11-01T02:57:13.000Z,NISAR_L3_PR_SME2_004_042_D_071_4005_DHDH_A_20251101T025713_20251101T025729_X05010_N_P_J_001,https://nisar.asf.earthdatacloud.nasa.gov/NISAR/NISAR_L3_SME2_BETA_V1/NISAR_L3_PR_SME2_004_042_D_071_4005_DHDH_A_20251101T025713_20251101T025729_X05010_N_P_J_001/NISAR_L3_PR_SME2_004_042_D_071_4005_DHDH_A_20251101T025713_20251101T025729_X05010_N_P_J_001.h5,G4058217055-ASF
2025-11-04T02:31:41.000Z,NISAR_L3_PR_SME2_004_085_D_070_4005_DHDH_A_20251104T023141_20251104T023216_X05010_N_F_J_001,https://nisar.asf.earthdatacloud.nasa.gov/NISAR/NISAR_L3_SME2_BETA_V1/NISAR_L3_PR_SME2_004_085_D_070_4005_DHDH_A_20251104T023141_20251104T023216_X05010_N_F_J_001/NISAR_L3_PR_SME2_004_085_D_070_4005_DHDH_A_20251104T023141_20251104T023216_X05010_N_F_J_001.h5,G4058223184-ASF
2025-11-04T02:32:15.000Z,NISAR_L3_PR_SME2_004_085_D_071_4005_DHDH_A_20251104T023215_20251104T023240_X05010_N_P_J_001,https://nisar.asf.earthdatacloud.nasa.gov/NISAR/NISAR_L3_SME2_BETA_V1/NISAR_L3_PR_SME2_004_085_D_071_4005_DHDH_A_20251104T023215_20251104T023240_X05010_N_P_J_001/NISAR_L3_PR_SME2_004_085_D_071_4005_DHDH_A_20251104T023215_20251104T023240_X05010_N_P_J_001.h5,G4058216197-ASF
